Displayed Name,First Name,Last Name,Role,Time,Group,Personal Statement / Summary (optional)
Andrés Lizcano Rodriguez,Andrés Lizcano,Rodriguez,,Alumni,Editorial Board,"Production Assistant for Vol 66.2 The Rise of Latin America

Andrés Lizcano Rodriguez is a recent SIPA graduate. He holds a masters degree from Columbia University in international affairs and a masters degree from Sciences Po in Paris, France. He recently relocated to Miami, Florida to work for Univision."
Andrew C. Tsunis,Andrew C.,Tsunis,,Alumni,Editorial Board,Editorial Assistant for Vol 53.2 Shadow Economies
Andrew David Kzirian,Andrew David,Kzirian,,Alumni,Editorial Board,Editorial Assistant for Vol 63.1 Pakistan & Afghanistan
Andrew J. Snyder,Andrew J.,Snyder,,Alumni,Editorial Board,Editorial Assistant for Vol 59.1 The Politics of the Sea
Andrew T. Monahan,Andrew T.,Monahan,,Alumni,Editorial Board,Editorial Assistant for Vol 59.1 The Politics of the Sea and Vol 59.2 The Globalization of Disaster
Andrew V. Frankel,Andrew V.,Frankel,,Alumni,Editorial Board,"Associate Editor for Vol 39.2 China in Transition and Vol 40.1 The Arms Trade
"
Andrzej Tom Jarmoszko,Andrzej Tom,Jarmoszko,,Alumni,Editorial Board,"Editorial Asssitant for Vol 38.1 Perspectives on Global Debt
Circulations Director for Vol 38.2 Dilemmas of Democracy and Vol 39.1 Technology in Space"
Angela Beibei Bao,Angela Beibei,Bao,,Alumni,Editorial Board,"Editorial Assistant for Vol 65.1 Inside the Authoritarian State and Vol 65.2 The Future of the City
"
Angela L. Meyer,Angela L.,Meyer,,Alumni,Editorial Board,Business Director for Vol 51.2 Technology and International Policy and Vol 52.1 The Multiple Faces of World Poverty
Ann Grier Cutter,Ann Grier,Cutter,,Alumni,Editorial Board,Editor-in-Chief for Vol 51.2 Technology and International Policy and Vol 52.1 The Multiple Faces of World Poverty
Ann Loulse Rafferty,Ann Loulse,Rafferty,,Alumni,Editorial Board,Editorial Assistant for Vol 36.2 Religion and Politics
Anne C. Raick,Anne C.,Raick,,Alumni,Editorial Board,Editorial Assistant for Vol 4.2 The Advancement of Underdeveloped Areas
Anne K. Remigailo,Anne K.,Remigailo,,Alumni,Editorial Board,Associate Editor (Promotions) for Vol 24.1 Leadership and Vol 24.2 International Economic Development in the 1970s
Anthony A. Deckoff,Anthony A.,Deckoff,,Alumni,Editorial Board,Director of Editorial Assistants and Cordier Editor for Vol 60.2 Iran and Director of Editorial Assistants for Vol 60.1 Historical Reconciliation
Anthony V. Marone,Anthony V.,Marone,,Alumni,Editorial Board,Editorial Assistant for Vol 4.2 The Advancement of Underdeveloped Areas
Anton Mifsud-Bonnici,Anton,Mifsud-Bonnici,,Alumni,Editorial Board,"Editorial Assistant for Vol 43.2 Mexico: Tradition and Transition and Vol 44.1 Theory, Values and Practice in International Relations"
Antonio Barroso Villaescusa,Antonio Barroso,Villaescusa,,Alumni,Editorial Board,Editorial Assistant for Vol 62.2 Africa in the 21st Century
Antonio Henriquez Garcia,Antonio Henriquez,Garcia,,Alumni,Editorial Board,Editorial Assistant for Vol 70.1 The Cyber Issue
Arthur Neron-Bancel,Arthur,Neron-Bancel,,Alumni,Editorial Board,Editorial Assistant for Vol 67.1 The Gender Issue
Asa P. Smith,Asa P.,Smith,,Alumni,Editorial Board,Managing Editor for Vol 21.1 Image and Reality in World Politics and Vol 21.2 Theory and Reality in International Relations
Ashley E. Chappo,Ashley E.,Chappo,,Alumni,Editorial Board,"Senior Editor (Fall/Winter) for Vol 71.1.5 Contentious Narratives, Vol 71.2 Ungoverned Spaces, and Vol 71.1 Democracy
"
Ashley Min Hae Kim,Ashley Min Hae,Kim,,Alumni,Editorial Board,Editorial Assistant for Vol 66.1 Transnational Organized Crime
Audrey Victoria Yu,Audrey Victoria,Yu,,Alumni,Editorial Board,Editorial Assistant for Vol 68.1 Breaking Point: Protests and Revoluions and Vol 68.2 Migration
"Aurelius A. Fernández, Jr.",Aurelius A.,"Fernández, Jr.",,Alumni,Editorial Board,Editorial Assistant for Vol 12.1 The Western Alliance and Vol 12.2 A Design for International Relations
Austin D. Johnston,Austin D.,Johnston,,Alumni,Editorial Board,Editorial Assistant for Vol 41.2 Europe and Vol 42.1 The State of the International Political Economy
Avo Erik Ora,Avo Erik,Ora,,Alumni,Editorial Board,Editorial Assistant for Vol 50.2 Privatization
Beatriz Ines L. Herrera-Davila,Beatriz Ines L.,Herrera-Davila,,Alumni,Editorial Board,Editorial Assistant for Vol 70.1 The Cyber Issue
Bebe Santa-Wood,Bebe,Santa-Wood,,Alumni,Editorial Board,"Production Director for Vol 69.2 Shifting Sands
Senior Editor (Winter) for Vol 70.2 The End of International Cooperation?, Vol 70.1 The Cyber Issue, and Vol 70.Special Issue The Next World Order
Production Associate for Vol 69.1 The Geopolitics of Energy
Authored Book Review for Vol 70.1 The Cyber Issue published in 2016-17

Bebe Santa-Wood is currently pursuing a master of international affairs at Columbia University. She graduated with a bachelor of arts from Beloit College and was formerly a Fulbright English teaching assistant in Turkey."
Benjamin B. Fischer,Benjamin B.,Fischer,,Alumni,Editorial Board,"Editorial Assistant for Vol 23.2 National Politics and Foreign Policy
Managing Editor for Vol 24.2 International Economic Development in the 1970s and Vol 24.1 Leadership
"
Benjamin H. Raab,Benjamin H.,Raab,,Alumni,Editorial Board,Editorial Assistant for Vol 9.1 Problems and Progress in Latin America
Benjamin Lee Simmons,Benjamin Lee,Simmons,,Alumni,Editorial Board,Editorial Assistant for Vol 50.2 Privatization
Benjamin Pascal Ward,Benjamin Pascal,Ward,,Alumni,Editorial Board,Editorial Assistant for Vol 48.2 Transcending National Boundaries and Vol 49.1 Continuity and Transformation
Benjamin R. Ryan,Benjamin R.,Ryan,,Alumni,Editorial Board,Editorial Assistant for Vol 59.1 The Politics of the Sea and Vol 59.2 The Globalization of Disaster
Bennet V. Cobliner,Bennet V.,Cobliner,,Alumni,Editorial Board,"Editorial Assistant for Vol 50.2 Privatization and Vol 51.1 South Asia
Production & Online Manager for Vol 51.2 Technology and International Policy and Vol 52.1 The Multiple Faces of World Poverty"
Benon V. Sevan,Benon V.,Sevan,,Alumni,Editorial Board,Editorial Assistant for Vol 18.1 Statesmen and Succession
Bernard A. Klem,Bernard A.,Klem,,Alumni,Editorial Board,"Editorial Assistant for Vol 16.1 Western Europe and Vol 16.2 Nation-Building
Editor for Vol 17.1 Diplomacy in Transition and Vol 17.2 The Asian Triangle"
Bernd C. Janzen,Bernd C.,Janzen,,Alumni,Editorial Board,Issue Editor for Vol 46.1 Sub-Saharan Africa
Bernd G. Janzen,Bernd G.,Janzen,,Alumni,Editorial Board,Editorial Assistant for Vol 45.2 Rethinking Nationalism and Sovereignty
Beth Zikronah Rosen,Beth Zikronah,Rosen,,Alumni,Editorial Board,Editorial Assistant for Vol 62.2 Africa in the 21st Century
Beverly G. Farrell,Beverly G.,Farrell,,Alumni,Editorial Board,Editorial Assistant for Vol 21.1 Image and Reality in World Politics
Beverly T. Harney,Beverly T.,Harney,,Alumni,Editorial Board,Editor-in-Chief for Vol 40.1 The Arms Trade and Vol 39.2 China in Transition
Bonnie Rose Schulman,Bonnie Rose,Schulman,,Alumni,Editorial Board,"Editorial Assistant for Vol 61.1 Religion & Statecraft and Vol 61.2 Water
Senior Editors (Fall) for Vol 62.1 Global Finance and Vol 62.2 Africa in the 21st Century"
Brian D. G. Johnson,Brian D. G.,Johnson,,Alumni,Editorial Board,"Editor for Vol 19.1 The Arab World and Vol 19.2 Mediterranean Europe
Editorial Assistant for Vol 18.1 Statesmen and Succession"
Brian D. Johnson,Brian D.,Johnson,,Alumni,Editorial Board,"Editor for Vol 19.1 The Arab World and Vol 19.2 Mediterranean Europe
Editorial Assistant for Vol 18.1 Statesmen and Succession"
Brian G. Prater,Brian G.,Prater,,Alumni,Editorial Board,Editorial Assistant for Vol 51.2 Technology and International Policy and Vol 52.1 The Multiple Faces of World Poverty
Brian P. Connelly,Brian P.,Connelly,,Alumni,Editorial Board,Editor for Vol 27.1 Political Integration in the Multinational States and Vol 27.2 Political Integration of Multi-State Nations
Bridgett Neely Senivr,Bridgett Neely,Senivr,,Alumni,Editorial Board,"Editorial Assistant for Vol 52.2 Seeking Institutional Justice and Vol 53.1 Fueling the 21st Century
Senior Editor, Fall 2000 issue for Vol 53.2 Shadow Economies and Vol 54.1 Turkey"
Brlan P. Lancaster,Brlan P.,Lancaster,,Alumni,Editorial Board,Editorial Assistant for Vol 36.2 Religion and Politics
Brook Wilensky-Lanford,Brook,Wilensky-Lanford,,Alumni,Editorial Board,Editorial Assistant for Vol 60.1 Historical Reconciliation
Brookshire,,Brookshire,,Alumni,Editorial Board,Editorial Assistant for Vol 68.1 Breaking Point: Protests and Revoluions
Bruce W. Nelan,Bruce W.,Nelan,,Alumni,Editorial Board,"Editorial Assistant for Vol 14.1 A New Balance of Power? and Vol 14.2 The Americas
Editor for Vol 15.1 Many Africas and Vol 15.2 Ideology"
Byron F. Battle,Byron F.,Battle,,Alumni,Editorial Board,"Editorial Assistant for Vol 17.2 The Asian Triangle
Associate Editor (Advertising) for Vol 18.1 Statesmen and Succession and Vol 18.2 The Politics of Partition"
C. Emrah Ongut,C. Emrah,Ongut,,Alumni,Editorial Board,Editorial Assistant for Vol 61.1 Religion & Statecraft
Ca-Mie De Souza,Ca-Mie,De Souza,,Alumni,Editorial Board,"Production Assistant for Vol 66.2 The Rise of Latin America
Lead Editor for Vol 66.1 Transnational Organized Crime"
Calvin Hyun Tae Kim,Calvin Hyun Tae,Kim,,Alumni,Editorial Board,Book Review Editor for Vol 68.1 Breaking Point: Protests and Revoluions and Vol 68.2 Migration
Canna C. Giovinetto,Canna C.,Giovinetto,,Alumni,Editorial Board,Editorial Assistant for Vol 54.2 Rogue States and Vol 55.1 Children
Cara Marisa Zwerling,Cara Marisa,Zwerling,,Alumni,Editorial Board,Editorial Assistant for Vol 60.2 Iran
Carl R. Fritz,Carl R.,Fritz,,Alumni,Editorial Board,"Associate Editor for Vol 5.1 American Foreign Policy and Vol 5.2 Propaganda in World Politics
Editorial Assistant for Vol 4.2 The Advancement of Underdeveloped Areas"
Carlos Eduardo Machado,Carlos Eduardo,Machado,,Alumni,Editorial Board,Editorial Assistant for Vol 48.2 Transcending National Boundaries
Carlos Suarez-Acta,Carlos,Suarez-Acta,,Alumni,Editorial Board,Editorial Assistant for Vol 53.2 Shadow Economies
Carlta Waldo Vitzthum,Carlta Waldo,Vitzthum,,Alumni,Editorial Board,Editorial Assistant for Vol 34.2 Soviet-American Competition in the Third World and Vol 35.1 International Underground Economic Systems
Carmen A. Nieto,Carmen A.,Nieto,,Alumni,Editorial Board,"Assistant Editor Vol 71.1 Democracy, Vol 71.1.5 Contentious Narratives, and Vol 71.2 Ungoverned Spaces"
Carol E. Freedman,Carol E.,Freedman,,Alumni,Editorial Board,Editorial Assistant for Vol 22.1 East-West Détente
Carol G. Tryon,Carol G.,Tryon,,Alumni,Editorial Board,"Editorial Assistant for Vol 22.1 East-West Détente and Vol 22.2 Intervention and World Politics
Associate Editor (Book Reviews) for Vol 23.1 Political Conflict and Vol 23.2 National Politics and Foreign Policy"
Carolina Escobar Vela,Carolina Escobar,Vela,,Alumni,Editorial Board,
Carolina Esquenazi-Shaio,Carolina,Esquenazi-Shaio,,Alumni,Editorial Board,Editorial Assistant for Vol 49.1 Continuity and Transformation and Vol 48.2 Transcending National Boundaries
Caroline J. Mcgregor,Caroline J.,Mcgregor,,Alumni,Editorial Board,Editorial Assistant for Vol 59.1 The Politics of the Sea and Vol 59.2 The Globalization of Disaster
Carolyn A. Reynolds,Carolyn A.,Reynolds,,Alumni,Editorial Board,Senior Editor for Vol 46.2 Keeping the Peace and Vol 47.1 The Power of the Media in the Global System
Catalina Ruiz-Healy,Catalina,Ruiz-Healy,,Alumni,Editorial Board,Editorial Assistant for Vol 49.2 Contemporary China and Vol 50.1 Religion
Catherine M. Brennan,Catherine M.,Brennan,,Alumni,Editorial Board,"Editorial Assistant for Vol 39.1 Technology in Space
Managing Editor for Vol 39.2 China in Transition and Vol 40.1 The Arms Trade"
Cathy E. Rivara,Cathy E.,Rivara,,Alumni,Editorial Board,"Associate Editor for Vol 38.2 Dilemmas of Democracy
Managing Editor for Vol 39.1 Technology in Space"
Cathy N. Clarke,Cathy N.,Clarke,,Alumni,Editorial Board,Promotions Director for Vol 38.2 Dilemmas of Democracy and Vol 39.1 Technology in Space
Ćecelia Valdez-Smith,Ćecelia,Valdez-Smith,,Alumni,Editorial Board,Editorial Assistant for Vol 49.2 Contemporary China and Vol 50.1 Religion
Cecilia De La Macorra,Cecilia De La,Macorra,,Alumni,Editorial Board,Editorial Assistant for Vol 54.2 Rogue States and Vol 55.1 Children
Chamberlain M. Hope,Chamberlain M.,Hope,,Alumni,Editorial Board,Editorial Assistant for Vol 16.1 Western Europe
Chandani I. Thapa,Chandani I.,Thapa,,Alumni,Editorial Board,Director of Production for Vol 58.1 State Building and Vol 58.2 Financing Development
Charles A. Berckmann,Charles A.,Berckmann,,Alumni,Editorial Board,Editorial Assistant for Vol 59.1 The Politics of the Sea
Charles B. Mintzer,Charles B.,Mintzer,,Alumni,Editorial Board,"Editorial Assistant for Vol 12.1 The Western Alliance and Vol 12.2 A Design for International Relations
Business Manager for Vol 13.1 Science and World Politics and Vol 13.2 The Middle East"
Charles F. Maccormack,Charles F.,Maccormack,,Alumni,Editorial Board,"Editorial Assistant for Vol 19.2 Mediterranean Europe
Managing Editor for Vol 19.1 The Arab World"
Charles L. Kaiser,Charles L.,Kaiser,,Alumni,Editorial Board,"Circulations Editor for Vol 32.1 International Terrorism, Vol 31.2 The Future World Order, and Vol 32.1 International Terrorism"
Charles P. Maccormack,Charles,Maccormack,,Alumni,Editorial Board,"Editorial Assistant for Vol 18.1 Statesmen and Succession
Editorial Assistant for Vol 18.2 The Politics of Partition"
Cheng-Jih Chen,Cheng-Jih,Chen,,Alumni,Editorial Board,Editorial Assistant for Vol 47.2 Refugees and International Population Flows
Chhandasi P. Pandya,Chhandasi P.,Pandya,,Alumni,Editorial Board,Editorial Assistant for Vol 59.1 The Politics of the Sea and Vol 59.2 The Globalization of Disaster
Chris A. Santulli,Chris A.,Santulli,,Alumni,Editorial Board,Editorial Assistant for Vol 63.2 Rethinking Russia
Christian R. Jones,Christian R.,Jones,,Alumni,Editorial Board,Editorial Assistant for Vol 54.2 Rogue States and Vol 55.1 Children
Christian R. Sonne,Christian R.,Sonne,,Alumni,Editorial Board,Editorial Assistant for Vol 15.1 Many Africas and Vol 15.2 Ideology
Christian Richard Sonne,Christian Richard,Sonne,,Alumni,Editorial Board,Managing Editor for Vol 16.1 Western Europe and Vol 16.2 Nation-Building
Christiane E. Kelley,Christiane E.,Kelley,,Alumni,Editorial Board,"Associate Editor (Advertising) for Vol 25.1 Revolutionary Wars and Vol 25.2 Change and the Future International System
Editorial Assistant for Vol 24.2 International Economic Development in the 1970s"
Christine C. Thomson,Christine C.,Thomson,,Alumni,Editorial Board,"Editorial Assistant for Vol 35.1 International Underground Economic Systems
Book Reviews Editor for Vol 35.2 Toward a New World Information Order? and Vol 36.1 The Human Rights of Indigenous Peoples"
Christine L. Lin,Christine L.,Lin,,Alumni,Editorial Board,Editorial Assistant for Vol 54.2 Rogue States and Vol 55.1 Children
Christine L. Turner,Christine L.,Turner,,Alumni,Editorial Board,Editorial Assistant for Vol 54.2 Rogue States and Vol 55.1 Children
Christine M. Weydig,Christine M.,Weydig,,Alumni,Editorial Board,"Senior Editor (Spring 2005) for Vol 58.1 State Building
Editorial Assistant for Vol 57.2 Land"
Christopher C. Allieri,Christopher C.,Allieri,,Alumni,Editorial Board,Associate Editor-Book Reviews for Vol 53.2 Shadow Economies and Vol 54.1 Turkey
Christopher E. Kuonqui,Christopher E.,Kuonqui,,Alumni,Editorial Board,"Editorial Assistant for Vol 59.1 The Politics of the Sea and Vol 59.2 The Globalization of Disaster
Christopher E. Kuonqui was interviewed by the Journal for Print issue Vol 59.2 The Globalization of Disaster published in 2005-06"
Christopher J. Schuyler,Christopher J.,Schuyler,,Alumni,Editorial Board,"Editorial Assistant for Vol 36.2 Religion and Politics and Vol 37.1 Japan's New World Role
Advertising Manager for Vol 37.2 The Politics of International Law and Vol 38.1 Perspectives on Global Debt"
Christopher L. Sholes,Christopher L.,Sholes,,Alumni,Editorial Board,Associate Editor for Vol 9.2 The United Nations After Ten Years
Christopher M. Sfetsios,Christopher M.,Sfetsios,,Alumni,Editorial Board,Editorial Assistant for Vol 65.1 Inside the Authoritarian State
Christy Grace Provines,Christy Grace,Provines,,Alumni,Editorial Board,"Director of Digital and Online Content for Vol 70.1 The Cyber Issue, Vol 70.Special Issue The Next World Order, and Vol 70.2 The End of International Cooperation?

Christy Grace Provines is a Co-Founder of The ‘MPOWER Project, an organization dedicated to anti-radicalization and the use of brand marketing and creative engagement messaging strategies to out-brand terrorism. Christy can be contacted at cgrace@mpowerproject.org."
Chun Jonathan Poon,Chun Jonathan,Poon,,Alumni,Editorial Board,Editorial Assistant for Vol 68.1 Breaking Point: Protests and Revoluions
Connie Jo Dickerson,Connie Jo,Dickerson,,Alumni,Editorial Board,Editorial Assistant for Vol 27.2 Political Integration of Multi-State Nations
Connie S. Lee,Connie S.,Lee,,Alumni,Editorial Board,Editorial Assistant for Vol 54.2 Rogue States and Vol 55.1 Children
Cynthia Anne Shirk,Cynthia Anne,Shirk,,Alumni,Editorial Board,Editorial Assistant for Vol 16.1 Western Europe and Vol 16.2 Nation-Building
Cynthia J. Rich,Cynthia J.,Rich,,Alumni,Editorial Board,Business Manager for Vol 37.2 The Politics of International Law and Vol 38.1 Perspectives on Global Debt
Cynthia L. Mitchell,Cynthia L.,Mitchell,,Alumni,Editorial Board,"Editorial Assistant for Vol 24.2 International Economic Development in the 1970s
Associate Editor (Business) for Vol 25.2 Change and the Future International System and Vol 25.1 Revolutionary Wars"
Cynthia L.G. Dupre,Cynthia L.G.,Dupre,,Alumni,Editorial Board,Book Reviews Editor for Vol 35.1 International Underground Economic Systems and Vol 34.2 Soviet-American Competition in the Third World
Cynthia N. Hewitt,Cynthia N.,Hewitt,,Alumni,Editorial Board,"Editorial Assistant for Vol 19.2 Mediterranean Europe
Associate Editor (Business) for Vol 20.2 Political Development in Latin America and Vol 20.1 East Central Europe"
D. Gordon Clark,D. Gordon,Clark,,Alumni,Editorial Board,Editor for Vol 1.1 Higher Education in International Affairs
D'Arcy H. Leclair,D'Arcy H.,Leclair,,Alumni,Editorial Board,"Editorial Assistant for Vol 24.2 International Economic Development in the 1970s
Associate Editor (Promotions) for Vol 25.2 Change and the Future International System and Vol 25.1 Revolutionary Wars"
Da In Diana Lee,Da In Diana,Lee,,Alumni,Editorial Board,Editorial Assistant for Vol 67.1 The Gender Issue
Dagmar Gunther-Stirn,Dagmar,Gunther-Stirn,,Alumni,Editorial Board,"Editorial Assistant for Vol 9.1 Problems and Progress in Latin America and Vol 8.2 The Military and U.S. Foreign Policy
Associate Editor for Vol 9.2 The United Nations After Ten Years"
Dan M. Kosinski,Dan M.,Kosinski,,Alumni,Editorial Board,Editorial Assistant for Vol 59.2 The Globalization of Disaster
Dana J. Pasternak,Dana J.,Pasternak,,Alumni,Editorial Board,Editorial Assistant for Vol 63.2 Rethinking Russia and Vol 63.1 Pakistan & Afghanistan
Dana K. Boggess,Dana K.,Boggess,,Alumni,Editorial Board,Editorial Assistant for Vol 60.1 Historical Reconciliation
Daniel A. Medina,Daniel A.,Medina,,Alumni,Editorial Board,Lead Editor for Vol 66.2 The Rise of Latin America and Vol 66.1 Transnational Organized Crime
Daniel D. Olson,Daniel D.,Olson,,Alumni,Editorial Board,"Editorial Assistant for Vol 30.2 Women and Change in the Developing World
Managing Editor for Vol 32.1 International Terrorism, Vol 31.2 The Future World Order, and Vol 31.1 The Global Commons"
Daniel L. Herman,Daniel L.,Herman,,Alumni,Editorial Board,Editorial Assistant for Vol 31.2 The Future World Order and Vol 31.1 The Global Commons
Daniel L. Katzive,Daniel L.,Katzive,,Alumni,Editorial Board,Business Manager for Vol 46.1 Sub-Saharan Africa and Vol 45.2 Rethinking Nationalism and Sovereignty
Daniel M. Kosinski,Daniel M.,Kosinski,,Alumni,Editorial Board,Editorial Assistant for Vol 59.1 The Politics of the Sea
Daniel S. Stellar,Daniel S.,Stellar,,Alumni,Editorial Board,Editorial Assistant for Vol 59.1 The Politics of the Sea
Daniel Safran-Hon,Daniel,Safran-Hon,,Alumni,Editorial Board,Book Review Editor for Vol 63.2 Rethinking Russia and Vol 63.1 Pakistan & Afghanistan
David A. Lombino,David A.,Lombino,,Alumni,Editorial Board,Special Projects and Cordier Editor for Vol 58.2 Financing Development and Vol 58.1 State Building
David A. Robison,David A.,Robison,,Alumni,Editorial Board,Editorial Assistant for Vol 15.2 Ideology
David Anthony Robison,David Anthony,Robison,,Alumni,Editorial Board,"Associate Editor (Circulation) for Vol 16.2 Nation-Building
Circulation Manager for Vol 16.1 Western Europe"
David G. Shaw,David G.,Shaw,,Alumni,Editorial Board,"Editorial Assistant for Vol 8.2 The Military and U.S. Foreign Policy and Vol 8.1 Postwar Soviet Foreign Policy
Editor for Vol 9.2 The United Nations After Ten Years and Vol 9.1 Problems and Progress in Latin America"
David H. Stephens,David H.,Stephens,,Alumni,Editorial Board,Book Reviews Editor for Vol 38.1 Perspectives on Global Debt and Vol 37.2 The Politics of International Law
David L. Champi,David L.,Champi,,Alumni,Editorial Board,Managing Editor for Vol 38.1 Perspectives on Global Debt and Vol 37.2 The Politics of International Law
David L. Kim,David L.,Kim,,Alumni,Editorial Board,"Editorial Assistant for Vol 42.1 The State of the International Political Economy and Vol 41.2 Europe
Associate Editor for Vol 43.1 U.S. Alliance Management Toward the Year 2000 and Vol 42.2 Gorbachev's Era of New Thinking"
David R. Holmes,David R.,Holmes,,Alumni,Editorial Board,"Editorial Assistant for Vol 19.2 Mediterranean Europe and Vol 19.1 The Arab World
Associate Editor (Advertising) for Vol 20.2 Political Development in Latin America and Vol 20.1 East Central Europe"
David S. Smitii,David S.,Smitii,,Alumni,Editorial Board,Advisory Board from 1962-76
David S. Sullivan,David S.,Sullivan,,Alumni,Editorial Board,"Editorial Assistant for Vol 24.1 Leadership
Editor Vol 24.2 International Economic Development in the 1970s, Vol 25.1 Revolutionary Wars, and Vol 25.2 Change and the Future International System"
Deirdre A. Brennan,Deirdre A.,Brennan,,Alumni,Editorial Board,"Authored Book Review for Vol 55.1 Children published in 2001-02
Editor-in-Chief for Vol 55.1 Children and Vol 54.2 Rogue States
Editorial Assistant for Vol 54.1 Turkey and Vol 53.2 Shadow Economies"
Denis A. Maslov,Denis A.,Maslov,,Alumni,Editorial Board,"General & Book Reviews Editor for Vol 55.1 Children
Book Reviews Editor for Vol 54.2 Rogue States
Associate Editor-Cordier Essay for Vol 54.1 Turkey and Vol 53.2 Shadow Economies"
Denise Alvina Wilson,Denise Alvina,Wilson,,Alumni,Editorial Board,Managing Editor for Vol 66.2 The Rise of Latin America and Vol 66.1 Transnational Organized Crime
Diana Del Olmo,Diana Del,Olmo,,Alumni,Editorial Board,Editorial Assistant for Vol 66.1 Transnational Organized Crime
Diana Montero Melis,Diana Montero,Melis,,Alumni,Editorial Board,Editorial Assistant for Vol 61.2 Water
Divya L. Swamy,Divya L.,Swamy,,Alumni,Editorial Board,Production & Online Manager for Vol 54.1 Turkey and Vol 53.2 Shadow Economies
Don A. Rassler,Don A.,Rassler,,Alumni,Editorial Board,Editorial Assistant for Vol 59.2 The Globalization of Disaster and Vol 59.1 The Politics of the Sea
Donald F. Norris,Donald F.,Norris,,Alumni,Editorial Board,Editorial Assistant for Vol 9.1 Problems and Progress in Latin America
Donna J. Blank,Donna J.,Blank,,Alumni,Editorial Board,"Editorial Assistant for Vol 38.1 Perspectives on Global Debt and Vol 37.2 The Politics of International Law
Senior Editor for Vol 38.2 Dilemmas of Democracy and Vol 39.1 Technology in Space"
Douglas J. Cardon,Douglas J.,Cardon,,Alumni,Editorial Board,Editor-in-chief for Vol 30.2 Women and Change in the Developing World
Dwight D. Sholes,Dwight D.,Sholes,,Alumni,Editorial Board,"Editorial Assistant for Vol 50.1 Religion and Vol 49.2 Contemporary China
Marketing and Advertising Director for Vol 50.2 Privatization"
Dwight R. Cass,Dwight R.,Cass,,Alumni,Editorial Board,Editorial Assistant for Vol 42.2 Gorbachev's Era of New Thinking
E. Anne Hodges,E. Anne,Hodges,,Alumni,Editorial Board,Editorial Assistant for Vol 19.2 Mediterranean Europe
