From,Title,To,Text,Topic,Date (MMDDYYYY),Author 1,Author 2,Author 3,Author 4,Author 5,Tag 1,Region 1,Region 2,Region 3,Region 4
https://web.archive.org/web/20160627211303/https://jia.sipa.columbia.edu/unaccompanied-children-and-the-u-s-immigration-system-challenges-and-reforms,Unaccompanied Children and the U.S. Immigration System: Challenges and Reforms,https://jia.site.drupaldisttest.cc.columbia.edu/news/unaccompanied-children-and-us-immigration-system-challenges-and-reforms,"In fiscal year (FY) 2014, approximately 60,000 children with no lawful immigration status and no parent or legal guardian present or available to provide care were apprehended at or near the U.S. border and turned over to the custody of the federal Office of Refugee Resettlement (ORR). These unaccompanied children (UAC) were charged with violating U.S. immigration laws and were placed in deportation proceedings. They enter a system that involves numerous government agencies which they must navigate. Most are released by ORR if they have family or another sponsor in the United States able to care for them, though they must continue to fight their deportation in immigration court, often without an attorney. Many UAC have legitimate claims that would lead to legal status if they could navigate the countryâ€™s complex web of immigration lawsâ€”approximately 40 percent of UAC are potentially eligible for some kind of relief from deportation. This article discusses the immigration system that UAC encounter, challenges they face within this system and proposals for reform. First, it provides a general overview of the U.S. immigration legal and detention system that UAC come into contact with when they arrive at the border. Then it discusses legal remedies available to this population and explains the difficulties of obtaining legal status as well as other challenges children face after release from ORR custody. The article then surveys the growing consensus about and efforts for reformâ€”such as appointing government-funded counsel for children, broader proposals to create a more â€œchild-friendlyâ€ immigration system, and the need for more comprehensive immigration reform. The article also explores threats to the current system that extends due process protections to these vulnerable immigrants.",ESSAY,5042015,Annie Chen,Jennifer Gill,,,,Produced for Digital,Americas,North America,,
https://web.archive.org/web/20160627211303/https://jia.sipa.columbia.edu/prospects-peace-negotiations-farc-interview-alexandra-narino,Prospects For Peace: Negotiations with FARC - An Interview with Alexandra NariÃ±o,https://jia.site.drupaldisttest.cc.columbia.edu/news/prospects-peace-negotiations-farc-interview-alexandra-narino,"The Revolutionary Armed Forces of Colombia (FARC) is a left-wing guerilla group that, since its inception in the mid-1960s shortly after the start of the countryâ€™s pernicious civil conflict, has grown to become one of the most influential armed groups in Colombiaâ€™s struggle. As the conflict dragged on, paramilitary groups organized to combat some of the left-wing groups that were grabbing land and terrorizing the countryside with violent tactics. This has made the conflict more complex and difficult to resolve, despite the fact that one main paramilitary group, the United Self-Defense Forces of Colombia (AUC), was largely demobilized by 2006. Today, the effects of the conflict have taken a toll on the countryâ€™s society. For instance, Colombia has the second-largest number of internally displaced persons, after Syria, because of its ongoing internal struggles. Peace talks have taken place on and off unsuccessfully over the years, but in 2012 FARC representatives and President Juan Manuel Santos returned to the negotiating table, this time in Havana, Cuba. The prospect of a revised political solution attracted both actors to the negotiating table. Indeed, President Santosâ€™ re-election in June 2014 largely hinged on his ongoing commitment to the peace process. Tanja Nijmeijer, alias Alexandra NariÃ±o, of the FARC peace delegation answered questions about the ongoing peace negotiations from Havana.",ESSAY,12122014,The Journal of International Affairs,,,,,Produced for Digital,Americas,South America,,
https://web.archive.org/web/20160627211303/https://jia.sipa.columbia.edu/possibility-global-data-sets-interview-kalev-leetaru,The Possibility of Global Data Sets - An Interview with Kalev Leetaru,https://jia.site.drupaldisttest.cc.columbia.edu/news/possibility-global-data-sets-interview-kalev-leetaru,"Kalev Leetaru is the creator of GDELT (Global Database of Events, Language, and Tone), a comprehensive, open source data set that aggregates news media to track political events and protests throughout the world, as well as the people, organizations, themes, and emotions underlying them. He just finished a term as the 2013â€“2014 Yahoo Fellow at the School of Foreign Service at Georgetown University and is working to expand the GDELT project. Leetaru provided the Journal with insight regarding the origins of the database, some of its complexities, new developments, and his vision for how GDELT can forecast future uprisings and political violence to help those affected.",ESSAY,12112014,The Journal of International Affairs,,,,,Produced for Digital,Global Commons,,,
https://web.archive.org/web/20160627211303/https://jia.sipa.columbia.edu/hong-kong-demands-democracy-interview-michael-davis,Hong Kong Demands Democracy - An Interview with Michael Davis,https://jia.site.drupaldisttest.cc.columbia.edu/news/hong-kong-demands-democracy-interview-michael-davis,"Massive pro-democracy protests broke out in Hong Kong in late September 2014, which began with university and secondary school students boycotting classes. Protesters are demanding the right to democratically elect their next chief executive, Hong Kongâ€™s highest elected position, in response to the Chinese governmentâ€™s announcement that they will vet and pre-approve all candidates. Pro-democracy activists say that this is not the universal suffrage promised by Beijing in the Hong Kong Basic Law and a further 2007 decision of the National Peopleâ€™s Congress. The Basic Law is the constitutional document of the Hong Kong administrative region. Law professor Michael Davis teaches at the University of Hong Kong and has lived in Hong Kong for thirty years. He has long observed and written about the pro-democracy political movement in the administrative region. He spoke with the Journal about the latest developments in the protests, as of 1 October 2014.",ESSAY,12112014,The Journal of International Affairs,,,,,Produced for Digital,Asia,East Asia,,
https://web.archive.org/web/20160627211303/https://jia.sipa.columbia.edu/crackdown-harsh-realities-nonviolent-protests-bahraini-civil-conflict,Crackdown: The Harsh Realities of Nonviolent Protests in the Bahraini Civil Conflict,https://jia.site.drupaldisttest.cc.columbia.edu/news/crackdown-harsh-realities-nonviolent-protests-bahraini-civil-conflict,"Bahrain is one of the only countries where, four years into the â€œArab Springâ€ uprisings, most people continue to use peaceful methods of resistance, including technological advancements and the use of social media for mobility. Over time, political stalemate, impunity, and the closure of most avenues for peaceful dissent caused many individuals to become disenchanted with the results of these nonviolent tactics, turning instead towards more violent means of protest. Inside Bahrain, opposition groups used the peopleâ€™s dedication to nonviolence to better position themselves. In addition, international responses to violent strategies elsewhere in the region have led to foreign military intervention, greater political attention in international forums, and more consistent coverage in mainstream media outlets. The use of peaceful dissent also suffers from a lack of international legal protection and regulation. The lack of regulation left those suffering from grave human rights violations as a result of peaceful dissent with few avenues that could provide more protection and accountability. Through the lens of the Bahraini protests, this article analyzes how the strategy of using nonviolence to create social and political change has been undermined and almost obliterated due to the lack of international legal structures to protect peaceful protesters from their governments, as well as the double standards apparent in the response of the international community.",ESSAY,12112014,Maryam Al-Khawaja,,,,,Produced for Digital,Middle East,,,
https://web.archive.org/web/20160627211303/https://jia.sipa.columbia.edu/politics-international-sanctions-2014-coup-thailand,The Politics of International Sanctions: The 2014 Coup in Thailand,https://jia.site.drupaldisttest.cc.columbia.edu/news/politics-international-sanctions-2014-coup-thailand,"Following the coup of 22 May 2014 in Thailand, the military has striven to narrow the democratic space while curtailing many forms of freedom. But even with the worst kind of authoritarianism, political legitimacy remains fundamental for the longevity of the regime. To prolong its political life, the military has embarked on distributing economic benefits to the people in an effort to acquire acceptance and loyalty through various populist programs, a practice made famous by its political nemesis, the Shinawatra political clan. For example, the military has ordered the disbursement of funds owed to poor farmers by the previously deposed government under a rice subsidy program. For the military, its survival depends on popular appeal. To keep the people happy, the military must demonstrate its ability to deliver economic benefits; and this partly hinges on how much the West perceives the suspension of democratic freedoms as a threat. Thailand is vulnerable to sanctions as it is linked to global supply chains of crucial commodities. The disruption of these links would impact the local economy and thus local consumers. Here, international sanctions have the potential to influence the behavior of the Thai junta. The United States and the European Union have warned that they may take more aggressive measures, including boycotting Thai products, if the military fails to restore democracy soon. Harsher sanctions will affect the economic livelihood of Thais and could consequently defy the legitimacy of the military regime.",ESSAY,12112014,Pavin Chachavalpongpun,,,,,Produced for Digital,Asia,South East Asia,,
https://web.archive.org/web/20160627211303/https://jia.sipa.columbia.edu/south-sudan-governance-arrangements-war-peace,"South Sudan: Governance Arrangements, War, and Peace",https://jia.site.drupaldisttest.cc.columbia.edu/news/south-sudan-governance-arrangements-war-and-peace,"South Sudan is a prime example of how governance arrangements can either achieve and maintain peace, or become the trigger for civil war. South Sudanâ€™s experience shows that the appropriateness of constitutional provisions to a local context remains key, and that the time-tested elements of good governance still matter: devolution and separation of powers, appropriate government and electoral systems, and strong institutions. In nations as ethnically diverse as South Sudan, decentralization is necessary for effective public participation, and it also contributes to bringing government closer to the people and empowering local governments to be more responsive to their constituenciesâ€™ needs. Ineffectual decentralization, on the other hand, leads to marginalization of some groups, and causes allegiances to form along ethnic rather than national lines. Should fighting break out in such a context, the conflict frequently takes on an ethnic nature, as it has in South Sudan. While failures in decentralization and other governance arrangements may have provoked civil war in South Sudan, addressing such weaknesses through constitutional amendments and capacity building, for example, may put the country back on track towards achieving and maintaining peace and stability. Other key reforms would include economic diversification, improved natural resource management, and tighter budgetary control. Despite the significant challenges ahead, there is hope yet for the worldâ€™s youngest nation.",ESSAY,12112014,Jenik Radon,Sarah Logan,,,,Produced for Digital,Africa,East Africa,,
https://web.archive.org/web/20160627211303/https://jia.sipa.columbia.edu/energy-insurgency-revolution-nexus-introduction-issues-policy-options,The Energy-Insurgency Revolution Nexus: An Introduction to Issues and Policy Options,https://jia.site.drupaldisttest.cc.columbia.edu/news/energy-insurgency-revolution-nexus-introduction-issues-and-policy-options,"Energy systems can be an integral part of the initiation of insurgencies and revolutions. Their quality and reliability may be causative factors in some instances and contributory factors in others. Energy systems are systems within systems nested in other systems, so the effect of an attack on a fuel source or parts of an energy system may have more far reaching effects than initially expected. This article will look at various energy systems and fuels, as well as some of the systems attached to them, including communications, transportation, water, and food. It will also look at examples of attacks on energy systems and why they may occur and by whom during times of conflict. There is a discussion of how a country could use energy to help reduce the chances of further conflict in the initial post-conflict environment. Energy policy options for a government wishing to stay in power, both pre- and post-conflict, are presented.",ESSAY,12112014,Paul Sullivan,,,,,Produced for Digital,Global Commons,,,
https://web.archive.org/web/20160627211303/https://jia.sipa.columbia.edu/requiem-arab-development-model,A Requiem for the Arab Development Model,https://jia.site.drupaldisttest.cc.columbia.edu/news/requiem-arab-development-model,"This article situates recent political turbulence in the Middle East within the long-term failure of the Arab development model that is based on economic controls and welfare concessions. After having sustained generous welfare entitlements for several decades, this development model is coming under increasing strains in the face of a growing and increasingly educated youth population, falling public spending, and an inflexible economic structure. Underpinning this failure is a weak and dependent private sector that survives largely through privileges rather than competition. This failure is most evident in the regionâ€™s labor-abundant economies, where privileges are concentrated amongst connected firms but employment is concentrated amongst small, informal sector firms operating at the margins of the economy. I argue that there is a deep trade-off between employment and autonomy; sustainable employment generation is not possible without giving greater autonomy to the private sector and releasing competitive space for its operation. However, private sector development is not simply a question of technocratic policy reform. In a context where economic controls generate rents for insiders and are used to sustain elite coalitions, development has to be conceived as part of a broader political concession.",ESSAY,12112014,Adeel Malik,,,,,Produced for Digital,Middle East,,,
https://web.archive.org/web/20160627211303/https://jia.sipa.columbia.edu/participatory-democracys-moment,Participatory Democracy's Moment,https://jia.site.drupaldisttest.cc.columbia.edu/news/participatory-democracys-moment,"If there are two things that unite the stunningly diverse movements of the last five years, it is their reliance on new digital media and their determination to enact, as well as bring about, more participatory forms of democracy. In this paper, I look at these developments separately and together. Why has enthusiasm for consensus-based decision making and leaderless organizations that were seemingly abandoned by the 1970s gained new life? How has that enthusiasm come to be shared by the right and left, by Tea Party members alongside Occupy activists? Without diminishing the importance of economic crises and policymakersâ€™ responses to those crises in shaping the movements of the last five years, I call attention to developments both outside and within movements that have made ours into a participatory age. Among those developments, the rise of the Internet has not only made protests easier to organize, it has also produced new understandings of equality, organization, and democracy. Yet the contemporary zeal for participation has also created new challenges for activists. Among these is the challenge to make participatory democracy attractive to people who do not have a deep ideological commitment to it.",ESSAY,12112014,Francesca Polletta,,,,,Produced for Digital,Global Commons,,,
https://web.archive.org/web/20160627211303/https://jia.sipa.columbia.edu/democratization-womens-political-leadership-north-africa,Democratization and Women's Political Leadership in North Africa,https://jia.site.drupaldisttest.cc.columbia.edu/news/democratization-and-womens-political-leadership-north-africa,"In the spring of 2011 when citizens in Arab countries rose up against their regimes, it appeared that the â€œthird waveâ€ of democratization had begun in the Middle East and the Maghreb, and that countries would embark on successful democratic transitions. Issues such as the gendered nature of the uprisings, how gender relations and womenâ€™s mobilizations have shaped trajectories, as well as how women and their rights have been affected, have been under-researched. In this article, I put the spotlight on North Africaâ€”Algeria, Egypt, Libya, Morocco, and Tunisiaâ€”which saw different protest dynamics and political outcomes subsequently. Drawing from mainstream literature on determinants of democratization and feminist literature on women and democratic transitions, I examine how womenâ€™s preexisting legal status and social positions, as well as the broad structural, institutional, and cultural contexts, shaped the course and immediate outcomes of the Arab Spring in the countries examined. I argue that those countries that saw advances in womenâ€™s participation and rights prior to the Arab Spring are the ones most likely to transition successfully to democracy, and indeed, to establish a more women-friendly democracy; and that womenâ€™s growing political leadership will influence the quality of ongoing democratizations in the Maghreb countries of Algeria, Morocco, and Tunisia.",ESSAY,12112014,Valentine M. Moghadam,,,,,Produced for Digital,Americas,North America,,
https://web.archive.org/web/20160627211303/https://jia.sipa.columbia.edu/digital-infrastructure-politics-internet-freedom-stakeholders-arab-spring,Digital Infrastructure Politics and Internet Freedom Stakeholders after the Arab Spring,https://jia.site.drupaldisttest.cc.columbia.edu/news/digital-infrastructure-politics-and-internet-freedom-stakeholders-after-arab-spring,"This article presents a brief characterization of the transformational consequences of the Arab Spring for global policy frameworks and democracy promotion efforts regarding Internet infrastructure. To do so, we begin with unpacking the battle that took place in Dubai in December 2012 at the World Conference on International Telecommunications (WCIT-12) between competing state powers, technology policy regimes, and civil society activists jockeying on the global stage to promote Internet freedom. Particular emphasis is placed on the discourses and controversies carried over from the Arab Spring surrounding Internet freedom as democracy promotion, including the growing importance of transnationally-organized and tech-savvy civil society activists who have joined these opaque policy debates. The next section focuses on highlighting the new practices and ideologies of this particularly novel â€œcommunity of practiceâ€ comprising transnational tech-savvy activists who have joined the Internet freedom proto-regime. The final discussion elucidates the policy innovations and frameworks born from the interactions of this diverse stakeholder network since the Arab Spring, and contrasts them with those of the state and private sector stakeholders who traditionally hold sway in shaping information infrastructure policies. We conclude by outlining the opportunities and challenges facing these policy entrepreneurs and the democratic interests of global Internet users.",ESSAY,12112014,Muzammil M. Hussain,,,,,Produced for Digital,Middle East,Americas,North America,
https://web.archive.org/web/20160627211303/https://jia.sipa.columbia.edu/drones-good-technological-innovations-social-movements-state,"Drones for Good: Technological Innovations, Social Movements, and the State",https://jia.site.drupaldisttest.cc.columbia.edu/news/drones-good-technological-innovations-social-movements-and-state,"The increased use of and attention to drones, or Unmanned Aerial Vehicles (UAVs), have led to a widespread debate about their application. Much of this debate has centered on their use by governments, often for the purpose of surveillance and warfare. This focus on the stateâ€™s use obscures the opportunity for civil society actors, including social movements, to make use of these technologies. This article briefly reviews the technological innovation before proceeding to a typology of civil society uses, ranging from art to digital disruption. This typology emphasizes the dual-use nature of this technology and, in the process, highlights the need for a best-practices framework to guide such use. Drone usage for the public good, it is argued, should prioritize 1) subsidiarity; 2) physical and material security; 3) the â€œdo no harmâ€ principle; 4) the public good; and respect for 5) privacy, and 6) data. These factors are introduced and discussed.",ESSAY,12112014,Austin Choi-Fitzpatrick,,,,,Produced for Digital,Global Commons,,,
https://web.archive.org/web/20160627211303/https://jia.sipa.columbia.edu/biotechnology-and-food-security,Biotechnology and Food Security,https://jia.site.drupaldisttest.cc.columbia.edu/news/biotechnology-and-food-security,"Genetically engineered (GE) foods apply new molecular technologies to agriculture. Widely adopted in the United States, Brazil, and Argentina for the production of corn, soybeans, and cotton, they are practically banned in Europe and tightly regulated throughout the world. We have found that GE foods have significantly increased supplies of corn, soybean, and cotton, and lowered their prices, thus improving food security. GE foods have already contributed to a reduction in the use of pesticides and emissions of greenhouse gases. We show that expanded adoption of GE foods can further enhance food security and adaptation to climate change. Sound redesign of regulation will increase investment in GE varieties and help to allow development of new traits that will further improve human welfare.",ESSAY,9282014,David Zilberman,Eunice Kim,Geoffrey Barrows,Scott Kaplan,Steven Sexton,Produced for Digital,Global Commons,,,
https://web.archive.org/web/20160627211303/https://jia.sipa.columbia.edu/food-security-beyond-calories,Food Security: Beyond Calories,https://jia.site.drupaldisttest.cc.columbia.edu/news/food-security-beyond-calories,,ESSAY,9282014,Jessica Simon,,,,,Produced for Digital,Global Commons,,,
